128	0.010000	0.030000	3.030000	
256	0.040000	0.230000	12.130000	
384	0.100000	0.920000	27.280000	
512	0.160000	0.940000	48.840000	
640	0.340000	3.900000	75.560000	
768	0.450000	3.980000	108.960000	
896	0.540000	3.880000	148.490000	
1024	0.650000	3.950000	194.210000	
