1024	2.000000e-02	1.200000e-01
2048	3.000000e-02	5.300000e-01
4096	6.000000e-02	2.090000e+00
8192	1.100000e-01	8.570000e+00
16384	2.400000e-01	3.444000e+01
32768	4.800000e-01	inf
65536	9.900000e-01	inf
131072	2.060000e+00	inf
262144	4.160000e+00	inf
524288	8.440000e+00	inf
1048576	1.704000e+01	inf
1024	6.820933e-15	inf
2048	5.682954e-15	inf
4096	1.000000e-02	inf
8192	1.000000e-02	inf
16384	3.000000e-02	inf
32768	5.000000e-02	inf
65536	1.200000e-01	inf
131072	2.700000e-01	inf
262144	4.700000e-01	inf
524288	1.160000e+00	inf
1048576	2.330000e+00	inf
1024	2.275957e-15	inf
2048	1.000000e-02	inf
4096	-1.706968e-15	inf
8192	1.000000e-02	inf
16384	1.000000e-02	inf
32768	3.000000e-02	inf
65536	5.000000e-02	inf
131072	1.200000e-01	inf
262144	2.500000e-01	inf
524288	5.400000e-01	inf
1048576	1.190000e+00	inf
